"Population","variable","value","maxVals","minVals","numVariable"
"focus","KLRG1",307,NA,NA,2.55130513051305
"focus","KLRG1",333,NA,NA,2.55140514051405
"focus","KLRG1",371,NA,NA,2.55150515051505
"focus","KLRG1",285,NA,NA,2.55160516051605
"focus","KLRG1",280,NA,NA,2.55170517051705
"focus","KLRG1",308,NA,NA,2.55180518051805
"focus","KLRG1",339,NA,NA,2.55190519051905
"focus","KLRG1",297,NA,NA,2.55200520052005
"focus","KLRG1",344,NA,NA,2.55210521052105
"focus","KLRG1",349,NA,NA,2.55220522052205
"focus","KLRG1",323,NA,NA,2.55230523052305
"focus","KLRG1",308,NA,NA,2.55240524052405
"focus","KLRG1",355,NA,NA,2.55250525052505
"focus","KLRG1",328,NA,NA,2.55260526052605
"focus","KLRG1",332,NA,NA,2.55270527052705
"focus","KLRG1",322,NA,NA,2.55280528052805
"focus","KLRG1",382,NA,NA,2.55290529052905
"focus","KLRG1",338,NA,NA,2.55300530053005
"focus","KLRG1",352,NA,NA,2.55310531053105
"focus","KLRG1",273,NA,NA,2.55320532053205
"focus","KLRG1",346,NA,NA,2.55330533053305
"focus","KLRG1",327,NA,NA,2.55340534053405
