"","logFC","logCPM","F","PValue","Group"
"UQCRQ",-0.148109849089928,8.24587435484134,3.30970906871203,0.168998745321514,"None"
"SAMD3",-0.308279805728151,8.88806330326169,5.45362330651675,0.0261490727571854,"None"
"STK17A",-0.92066376696918,8.89648201577108,31.3044435280134,3.917831809911e-06,"Down"
"SYTL3",-0.0341451629604067,9.02644494325242,0.0205497985014223,0.887147186462308,"None"
"COX6C",-0.107933023358335,9.19846785564177,1.35522455315734,0.643845062479412,"None"
"YWHAZ",0.101704951790168,10.3020183814899,1.90242123843059,0.177640400329296,"None"
"HNRNPK",-0.207652389653319,9.39032455164916,5.56846875718002,0.0648450190138885,"None"
"VCP",0.0642290976780819,8.32614863662738,0.21903626756778,0.643036680523743,"None"
"ARF6",0.230081257489507,8.72986737199335,5.73720760226599,0.0294135828690135,"None"
"GHITM",0.151890461284455,8.04357160247141,2.09712165368404,0.157578222974095,"None"
"NDUFB8",-0.105435691095741,8.26535109408513,0.912033594948407,0.558616145201098,"None"
"ANAPC16",-0.072435859622971,8.57657765535063,0.473053152877263,0.496680993687718,"None"
"TAF10",-0.249108498331532,8.7195351751205,6.90112365140077,0.0132503925193974,"None"
"PRKCB",-0.153621224690727,8.21642368550673,2.00335654994464,0.166882002795123,"None"
"HSP90B1",0.217775146495464,9.46729130670379,6.67425126231658,0.0147006764564261,"None"
"B2M",0.110380807948462,14.6628497984645,2.56005243071331,0.119700028359096,"None"
"PPIB",-0.0349441640265256,9.90386450199916,0.214718265884789,0.646318877114719,"None"
"YWHAB",0.0258712735552894,9.67111401241734,0.11286908821553,0.856275554495003,"None"
"MAPRE2",0.276991522901674,8.54559161537764,2.4785733798089,0.126214677198961,"None"
"PDIA3",0.0626805856834062,9.87428859996187,0.407004715319869,0.528160813841571,"None"
"EEF2",-0.262334563741169,10.4473725196805,6.44045085991262,0.0163777198376246,"None"
"SRRM2",-0.0915114121576943,8.8701116855707,0.835654525005196,0.560180259355015,"None"
"FTH1",0.137829216075176,11.0375708370653,2.41880262305259,0.12999940112693,"None"
"PTGDR",-0.052444627291458,8.60719193737313,0.119603242332262,0.731804549821126,"None"
"H1-4",-0.271506717930253,10.2050712554613,2.88375976836636,0.100144022563942,"None"
"CX3CR1",0.259355655140691,9.44741544200604,1.29355299817626,0.266093254628805,"None"
"SLC25A6",-0.22053223554343,9.37364079575075,5.57085465121626,0.0247087849189262,"None"
"LMAN2",0.0796839184238893,8.16352614430608,0.558206165904423,0.46059236005022,"None"
"PRELID1",-0.0332643894867169,8.6496667631459,0.0761060372668934,0.784469265519044,"None"
