"","logFC","logCPM","F","PValue","Group"
"USP11",0.477384114465869,7.05474643690429,19.0968761508664,9.44528700508461e-05,"Up"
"RBM3",-0.0192317204462698,8.98181294710393,0.0361289186277376,0.850272500514936,"None"
"BEX4",0.890219481010121,6.69393217451216,23.1056196345522,3.10022808154645e-05,"Up"
"STK24",-0.173275918422928,7.53665632798154,6.99091626726268,0.0160053682892152,"Down"
"SUPT20H",0.372937114906293,6.70665613205453,12.8574238529844,0.000953440984682798,"Up"
"RGCC",0.9274179808777,7.65902205939016,20.215041485738,9.11922528958954e-05,"Up"
"CORO1A",-0.034285776591137,10.633949315634,0.284894492754187,0.596654151287268,"None"
"NUTF2",-0.0106939862374223,7.20236001096086,0.0157524046719561,0.900789948258767,"None"
"ARL2BP",0.320101371660645,7.06461668024616,11.4107894573898,0.00171128105404721,"Up"
"CTCF",-0.0794682503942891,7.01113588093743,0.672622508665684,0.4541883340628,"None"
"POLR2C",0.301252441449031,6.87070501761599,7.2514135367443,0.0105226576468423,"Up"
"NME3",0.383643274059726,7.52151330420389,19.6821944574561,7.71926255488936e-05,"Up"
"PSMD7",-0.187837815798508,7.41902032105619,4.2466460803917,0.0462987443124474,"None"
"COTL1",-0.470973937113783,9.21947216867726,5.33935656833826,0.027844271584837,"None"
"ANTKMT",0.274001341188831,7.13259552637172,5.56224966753465,0.0236590457436271,"Up"
"STUB1",-0.349538420963016,7.66509884470883,22.1145565299113,3.41781086907039e-05,"Down"
"UBE2I",-0.102805359467366,8.0731214798488,1.32843195137236,0.256363208913948,"None"
"HMOX2",-0.105132365786083,7.68255382307612,1.75804601912612,0.246548458111853,"None"
"RBL2",0.293981051467695,8.84661346695497,12.5714694641119,0.00106853032015041,"Up"
"MAZ",-0.120796018938108,8.22115068756477,1.86760739336799,0.179870240818628,"None"
"KAT8",0.510427741405727,6.57912221685691,26.4724154109548,8.66178222991575e-06,"Up"
"CSK",-0.274923677317921,8.48501168844193,14.1299517838875,0.000579559254495521,"Down"
"HERC1",0.0394219319849345,7.3049489378013,0.174737727495529,0.678314056963206,"None"
"RAB11A",0.059662225598104,7.39770424241919,0.328192753345599,0.570137205911746,"None"
"EIF3J",-0.0946006525976556,6.91856136636386,0.961341082271177,0.333119305519547,"None"
"DECR1",-0.110876803377761,7.47254048573258,1.29498471667208,0.262334373693813,"None"
"RAB2A",-0.229613716081928,7.55429692870381,5.36518442348758,0.0260963302202497,"None"
"EIF3E",0.67453532665513,9.35876067231625,32.5215205770386,1.88882025943003e-06,"Up"
"GSDMD",-0.162049554493972,7.03274613028367,3.27116079260136,0.0785141208243434,"None"
"EEF1D",0.393034579624747,11.3746992477536,37.0395772262512,4.52494440350691e-07,"Up"
"INTS10",0.296802301625702,6.77151318884539,6.97336736233677,0.0119828754720655,"Up"
"LEPROTL1",0.751357393541862,9.34206869705604,55.7401454273714,6.22096224783904e-09,"Up"
"ERICH1",0.00363666888271276,7.11861828414703,0.00101351114909555,0.974771563691433,"None"
"NUCB1",-0.190339469585737,7.62640728094174,5.23477978585313,0.027858308733113,"None"
"ECH1",-0.0700539125933059,7.8073735787394,0.407979303808129,0.526870750898797,"None"
"HNRNPL",-0.0229955071099893,8.50732856400894,0.0762658224830169,0.783936173652728,"None"
"SNRNP70",-0.0414192497950696,7.43786137998679,0.191388173578892,0.664267674864419,"None"
"CD37",0.12955465556777,9.88558340166743,5.83020765135432,0.0207324620463766,"Up"
"SF3A2",0.0298976983089109,7.64921902485812,0.145729610812334,0.704800207895229,"None"
"OAZ1",-0.332076024165185,9.92534393486466,34.7523951945155,8.24296831853066e-07,"Down"
"C19orf53",0.379375824387792,8.77861145763721,28.027744645265,5.43726633932282e-06,"Up"
"IL27RA",0.204506558698539,7.00289492519966,2.58705753712885,0.116110186216458,"None"
"PPP6R1",-0.159860154130208,7.31805355736257,2.44570820733165,0.126229326236651,"None"
"RASAL3",-0.180646030183433,8.146360526927,4.51462904444858,0.0402435575300076,"None"
"URI1",0.076305832485902,8.02900630893249,0.803889543295273,0.375640699330235,"None"
"PDCD5",-0.15417940932402,7.44625141980454,2.25733343434888,0.141339859259176,"None"
"FBL",0.393617011682049,8.36601407241845,19.8469392226926,7.29607118179203e-05,"Up"
"GPI",-0.282966293901992,7.93237866723454,9.57471627745527,0.00371381765192865,"Down"
"TBCB",-0.559529182501418,7.60390222692662,31.3336619210311,2.09905789547622e-06,"Down"
"HNRNPUL1",-0.067569016125428,7.94278109435429,0.41402972230495,0.523838525187606,"None"
"TGFB1",-0.847726677538318,9.56025273265309,64.3700326202543,1.30714805614978e-09,"Down"
"NKG7",-5.59212324944352,10.8793240991755,225.529089260354,2.09135084445829e-15,"Down"
"ETFB",0.324493086943523,7.1579809083596,5.36557883945537,0.0262898891444327,"None"
"CDC37",-0.286386863774695,8.59049326680634,16.0706193608847,0.000278784529323331,"Down"
"NAPA",-0.126490048921494,7.46384780409658,1.86413782248414,0.180265518505967,"None"
"RABAC1",0.0323583395648075,8.33118721228056,0.162860276927173,0.688823749711687,"None"
"PPP2R1A",-0.024163390159138,7.7139680559383,0.068498800601909,0.852100929300875,"None"
"WDR83OS",-0.206702256129376,8.1675749597498,7.63512761998905,0.00881278638520692,"Down"
"JAK3",0.460126291242708,6.9770435355389,12.7923720104914,0.000978414279981438,"Up"
"COPE",-0.299664754830163,7.99385641267765,14.2476235993155,0.000553896795253892,"Down"
"LSR",0.856661579503151,6.68758233389306,24.7802072032848,1.73569145547414e-05,"Up"
"FKBP8",-0.120865362890437,8.41596590794931,3.32963685159777,0.0759991500849101,"None"
