,B_LOMGlow_2,CD4T_EOMGlow_3,CD8T_LOMGlow_2,NK_EOMGlow_1
DOCK5,NA,NA,NA,1.083101344
DOK2,1.858702561,-0.823006306,-0.834329719,NA
DPAGT1,1.078882545,NA,NA,NA
DPH3,NA,NA,-1.101688738,NA
DPH6,NA,NA,-1.719846898,NA
DPM2,NA,-1.428412681,NA,NA
DPP4,NA,NA,1.636067698,NA
DRG2,NA,-1.954038494,NA,NA
DSTN,1.3435114,-0.837304455,NA,0.242965762
DTNBP1,NA,-1.312679934,NA,NA
DUS2,-1.039296801,NA,NA,NA
DUSP1,NA,NA,1.227658832,NA
DUSP11,-2.110097188,-1.168503664,NA,NA
DUSP16,NA,NA,1.269871804,NA
DUSP28,NA,NA,-1.388535518,NA
DUSP5,1.738745567,NA,NA,NA
DVL2,NA,-2.263806602,NA,NA
DYNC2H1,NA,NA,1.51627265,NA
DYNLRB1,NA,NA,-1.057320895,NA
DYNLT2B,NA,-1.774477785,-1.722513138,NA
DYRK1A,NA,NA,-1.041596248,NA
DZIP3,-7.085297638,NA,NA,-1.101526722
E2F3,NA,NA,-1.005427755,NA
EARS2,1.764464558,NA,NA,NA
EBF1,-2.260191581,NA,NA,NA
EBP,1.211195392,NA,NA,NA
ECI2,NA,NA,-1.081498451,-0.505942056
EDEM3,1.089477595,-1.520647431,NA,NA
EEA1,-1.601437414,NA,-0.933096557,NA
EEF2K,NA,-6.037376824,NA,NA
EEFSEC,NA,-2.174892035,NA,NA
EEPD1,NA,-2.185074383,NA,NA
EGLN2,-1.437910275,NA,NA,NA
EGR3,2.351974329,NA,NA,NA
EHMT2,NA,-1.456604271,NA,NA
EIF1AX,NA,-1.032199981,NA,NA
EIF2B1,NA,-1.036431337,NA,NA
EIF2S1,NA,-1.074628484,NA,NA
EIF4E,NA,-1.537480677,NA,NA
EIF5A2,NA,NA,-2.23587029,NA
ELK3,NA,NA,1.243800559,NA
ELK4,-1.119246392,NA,NA,NA
ELL,NA,-6.755848544,NA,NA
ELOVL5,NA,-1.013375194,NA,NA
ELP3,NA,NA,-1.207930754,NA
EMC2,NA,-2.503246856,NA,NA
